#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130 http_hostname:131
172.16.1.200 33718 17 0 16 9 452 6 452 0 0 0 1 1 172.16.1.1 861 17 0 17 5 2944 10 2944 0 0 0 1 1 1529423985220.329102 1529423999888.278076 14667.949000 54.182000 27.860000 14586.186000 14614.814000 26.584000 27.860000 1 1 0 0 0 0 0 10.073624 0.088000 42.211000 18.413221 8 64 64 33.362515 26.256000 64.811000 15.383804 11 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 164 16 49152 42340 0 164 16 164 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1448 16 45056 43440 0 1480 16 64 0 0 0 0 0 0 0 0 0 0 0 --- 6 9 - - 0 0 0 0.000000 0.000000 0.000000 0.000000 0 0 - - 0.0 0.0 -
172.16.1.200 33720 17 0 16 9 452 6 452 0 0 0 1 1 172.16.1.1 861 17 0 17 5 2944 10 2944 0 0 0 1 1 1529423989202.400879 1529424004707.301025 15504.900000 54.077000 27.634000 15423.892000 15452.078000 26.443000 27.634000 1 1 0 0 0 0 0 9.619505 0.073000 38.511000 17.625384 8 64 64 33.459878 26.160000 66.347000 15.825493 11 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 164 16 49152 42340 0 164 16 164 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1448 16 45056 43440 0 1480 16 64 0 0 0 0 0 0 0 0 0 0 0 --- 6 9 - - 0 0 0 0.000000 0.000000 0.000000 0.000000 0 0 - - 0.0 0.0 -
172.16.1.200 33002 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50549 7 0 7 3 1906 2 1906 0 0 0 1 1 1529424018424.297119 1529424018590.339111 166.042000 27.303000 28.731000 100.100000 73.292000 26.770000 27.315000 1 1 0 0 8192 0 0 2.235155 0.012000 10.933000 4.862682 5 64 64 26.430339 26.149000 26.752000 0.325579 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 38 343 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1018 888 49152 43440 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 62.359000 73.292000 99.963000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 33000 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50549 7 0 7 3 1906 2 1906 0 0 0 1 1 1529424018424.247070 1529424018590.481934 166.235000 27.317000 28.411000 100.145000 73.302000 26.798000 27.340000 1 1 0 0 8192 0 0 2.231755 0.023000 10.911000 4.852153 5 64 64 26.426839 26.061000 26.761000 0.376868 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 38 343 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1018 888 49152 43440 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 62.391000 73.302000 100.046000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 32998 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50549 7 0 7 3 1906 2 1906 0 0 0 1 1 1529424018424.124023 1529424018590.633057 166.509000 26.733000 27.899000 100.255000 68.682000 26.260000 26.773000 1 1 0 0 8192 0 0 2.031759 0.020000 9.923000 4.411607 5 64 64 26.408840 26.109000 27.144000 0.492199 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 38 343 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1018 888 49152 43440 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 58.759000 68.682000 95.826000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 32996 10 0 9 3 6032 5 6032 0 0 0 1 1 172.16.1.1 50549 8 0 8 4 1906 2 1906 0 0 0 1 1 1529424018424.011963 1529424018590.655029 166.643000 26.904000 27.981000 96.050000 68.750000 26.300000 26.917000 1 1 0 0 8192 0 0 7.686039 0.013000 36.076000 14.458686 6 64 64 26.393590 26.014000 27.149000 0.511952 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 4265 17 47104 42340 0 4303 17 343 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1018 888 57344 43440 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 5 2 - - 0 0 0 58.838000 68.750000 95.899000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 54044 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50930 7 0 7 3 1906 2 1906 0 0 0 1 1 1529424025181.007080 1529424025362.157959 181.151000 30.422000 32.062000 102.745000 75.955000 29.887000 30.457000 1 1 0 0 8192 0 0 1.929161 0.029000 8.829000 3.867974 5 64 64 27.061073 25.695000 29.840000 1.883438 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 38 343 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1018 888 49152 43440 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 67.126000 75.955000 102.483000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 54046 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50930 7 0 7 3 1906 2 1906 0 0 0 1 1 1529424025181.174072 1529424025362.291992 181.118000 30.812000 32.337000 102.584000 75.796000 29.746000 30.840000 1 1 0 0 8192 0 0 1.925161 0.024000 8.793000 3.850051 5 64 64 27.056824 25.963000 29.722000 1.796454 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 38 343 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1018 888 49152 43440 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 67.003000 75.796000 102.344000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 54048 14 0 13 3 21862 9 23310 1 1448 1 1 1 172.16.1.1 50930 12 0 12 8 1906 2 1906 0 0 0 1 1 1529424025181.264893 1529424025362.386963 181.122000 30.208000 30.803000 116.925000 64.699000 29.556000 30.236000 1 1 0 0 8192 0 0 0.542243 0.011000 4.119000 1.445431 8 64 64 27.073823 25.719000 29.534000 1.688868 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 11584 38 47104 42340 0 13070 38 343 0 0 1 0 1 0 0 0 0 1 1 11 1 2 1460 1018 888 88064 43440 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 60.580000 64.699000 91.047000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 54050 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50930 7 0 7 3 1906 2 1906 0 0 0 1 1 1529424025181.302002 1529424025568.708984 387.407000 30.639000 31.307000 102.415000 75.626000 29.567000 30.670000 1 1 0 0 8192 0 0 1.915162 0.020000 8.760000 3.837389 5 64 64 26.973326 25.698000 29.547000 1.753798 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1018 888 49152 43440 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 66.866000 75.626000 101.689000 0.000000 1713 0 - - 0.0 0.0 -
