c_rtt_min:46,s_rtt_min:53,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106
0.061,26,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.085,26.018,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.014,25.941,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.023,26.022,17,47104,42340,0,4303,17,343,0,0,0,0,0,888,57344,43440,0,1018,1,888,0,0,0,0,0
0.01,26.031,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.013,26.102,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.04,25.834,16,49152,42340,0,164,16,164,0,0,0,0,2,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.025,26.013,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.01,25.911,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.012,25.851,17,47104,42340,0,13070,17,343,0,0,0,0,0,888,88064,43440,0,1018,1,888,0,0,0,0,0
0.013,26.056,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.074,25.964,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.061,26.153,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.067,25.87,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.054,26.077,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.007,26.113,38,47104,42340,0,95568,38,343,64,108,96,0,70,888,1030144,12288,0,1018,888,888,0,0,0,0,0
0.008,25.816,38,47104,42340,0,62264,38,343,32,90,81,0,103,888,186368,43440,0,1018,888,888,0,0,0,0,0
0.006,26.115,38,47104,42340,0,73848,38,343,33,133,110,0,68,888,493568,43440,0,1018,888,888,0,0,0,0,0
0.007,26.263,38,47104,42340,0,563272,38,343,64,99,147,0,86,888,2832384,16384,0,1018,888,888,0,0,0,0,0
0.056,26.05,16,49152,42340,0,164,16,164,0,0,0,0,1,16,45056,43440,0,1480,1,64,0,0,0,0,0
0.015,25.937,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.01,26.1,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.027,25.914,17,47104,42340,0,15002,17,343,0,0,0,0,0,888,120832,43440,0,1018,1,888,0,0,0,0,0
0.011,26.033,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.048,25.927,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.041,25.842,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.038,25.789,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,1,0,0,0,0
0.042,25.812,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,1,0,0,0,0
0.043,26.15,16,49152,42340,0,164,16,164,0,0,0,0,0,16,88965120,43440,0,1480,16,64,0,0,0,1,0
0.046,25.882,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.007,25.909,38,47104,42340,0,66608,38,343,120,359,417,0,166,888,655360,43440,0,1018,1,888,0,0,0,0,0
0.007,25.985,38,47104,42340,0,821016,38,343,145,310,509,0,211,888,3880960,43440,0,1018,1,888,0,0,0,0,0
0.006,26.265,38,47104,42340,0,208512,38,343,111,315,295,0,195,888,851968,43440,0,1018,1,888,0,0,0,0,0
0.007,26.101,38,47104,42340,0,127424,38,343,140,308,292,0,136,888,927744,43440,0,1018,1,888,1,0,0,0,0
0.011,25.989,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.027,26.114,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.015,26.132,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.019,26.138,17,47104,42340,0,5303,17,343,0,0,0,0,0,888,61440,43440,0,1018,1,888,0,0,0,0,0
0.023,25.953,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.011,25.913,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.024,26.089,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.019,25.832,17,47104,42340,0,2934,38,343,0,0,0,0,0,888,57344,43440,0,1018,1,888,0,0,0,0,0
0.011,25.864,17,47104,42340,0,4913,17,343,0,0,0,0,0,888,57344,43440,0,1018,1,888,0,0,0,0,0
0.016,25.885,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.013,25.88,17,47104,42340,0,5367,17,343,0,0,0,0,0,888,59392,43440,0,1018,1,888,0,0,0,0,0
0.016,26.108,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.039,26.234,16,51200,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,1,0,0,0,0
0.059,25.956,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.036,25.899,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.047,25.884,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,1,0,0,0,0
0.039,26.081,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.008,25.898,38,47104,42340,0,102400,38,343,123,383,483,0,204,888,905216,43440,0,1018,1,888,0,0,0,0,0
0.007,25.839,38,47104,42340,0,79640,38,343,169,332,390,0,149,888,569344,43440,0,1018,1,888,0,0,0,0,0
0.007,26.048,38,47104,42340,0,65160,38,343,58,238,215,0,168,888,655360,43440,0,1018,1,888,0,0,0,0,0
0.007,25.897,38,47104,42340,0,65160,38,343,78,281,255,0,192,888,471040,43440,0,1018,1,888,0,0,0,0,0
0.058,26.083,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.049,25.972,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.062,26.182,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.045,25.887,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.087,25.941,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.046,26.204,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.05,25.899,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.045,26.151,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.052,26.164,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.042,25.814,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.052,26.261,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.05,25.917,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.063,25.9,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.045,26.159,16,49152,42340,0,164,16,164,1,0,0,0,0,16,47104,43440,0,1480,16,64,0,0,0,0,0
0.054,26.216,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.039,25.912,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.052,26.097,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.006,26.116,17,47104,42340,0,86880,17,343,323,983,1088,0,712,888,219136,43440,0,1018,1,888,0,0,0,0,0
0.002,25.836,38,47104,42340,0,94120,38,343,386,1071,1237,0,627,888,452608,43440,0,1018,1,888,0,0,0,0,0
0.007,26.082,38,47104,42340,0,79640,38,343,277,678,331,0,862,888,387072,43440,0,1018,1,888,0,0,0,0,0
