#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,http_hostname:131
172.16.1.200,55914,17,0,16,9,452,6,452,0,0,0,1,1,172.16.1.1,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1530295041261.391113,1530295055612.849121,14351.458000,53.076000,27.089000,14272.552000,14299.537000,26.018000,27.089000,1,1,0,0,0,0,0,9.354008,0.089000,37.285000,17.084344,8,64,64,32.969246,25.655000,65.945000,15.629783,11,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,164,16,49152,42340,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1448,16,45056,43440,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,-,-,0.0,0.0,-
172.16.1.200,56166,18,0,17,9,452,6,452,1,0,0,1,2,172.16.1.1,861,18,0,18,6,2944,10,2944,0,0,0,1,1,1530295058227.358887,1530295071538.083984,13310.725000,53.304000,27.318000,12998.978000,13026.993000,26.065000,27.318000,1,1,0,0,0,0,0,38.605517,0.090000,231.541000,79.848508,8,64,64,33.049700,25.905000,64.580000,15.330485,11,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,164,16,49152,42340,0,164,16,164,0,0,0,0,1,0,0,0,0,1,1,11,1,1,1460,1448,16,45056,43440,0,1480,1,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,-,-,0.0,0.0,-
172.16.1.200,56192,19,0,18,11,452,6,452,0,0,0,1,1,172.16.1.1,861,16,0,16,4,2944,10,2944,0,0,1,1,1,1530295065200.715088,1530295080343.208008,15142.493000,53.285000,27.186000,15029.481000,15089.752000,26.187000,27.186000,1,1,0,0,0,0,0,9.820002,0.070000,39.296000,17.605614,8,64,64,33.778962,26.082000,66.122000,16.153688,10,64,64,0,0,0,0,0,0,1,1,11,1,1,1460,164,16,49152,42340,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1448,16,45056,43440,0,1480,16,64,0,1,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,-,-,0.0,0.0,-
172.16.1.200,56290,17,0,16,9,452,6,452,0,0,0,1,1,172.16.1.1,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1530295071243.264893,1530295085192.295898,13949.031000,53.080000,27.162000,13869.144000,13896.692000,26.107000,27.162000,1,1,0,0,0,0,0,9.621380,0.056000,38.372000,17.541620,8,64,64,32.887610,25.830000,63.961000,15.227762,11,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,164,16,49152,42340,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1448,16,45056,43440,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,-,-,0.0,0.0,-
172.16.1.200,51238,8,0,7,2,1767,4,1767,0,0,0,1,1,172.16.1.1,50398,7,0,7,3,1906,2,1906,0,0,0,1,1,1530295092461.793945,1530295092671.559082,209.765000,27.161000,28.415000,95.129000,68.497000,26.040000,27.192000,1,1,0,0,8192,0,0,1.309774,0.031000,6.321000,2.801451,5,64,64,28.326292,25.998000,33.761000,3.644364,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,62.176000,68.497000,95.083000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,51240,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50398,7,0,7,3,1906,2,1906,0,0,0,1,1,1530295092461.913086,1530295092671.618896,209.706000,27.086000,28.267000,95.016000,68.348000,25.902000,27.098000,1,1,0,0,8192,0,0,1.280174,0.012000,6.269000,2.788899,5,64,64,26.352091,25.875000,26.895000,0.498934,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,62.079000,68.348000,95.002000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,51236,12,0,11,3,6032,7,6032,0,0,2,1,1,172.16.1.1,50398,10,0,10,6,1906,2,1906,0,0,0,1,1,1530295092461.677979,1530295092671.634033,209.956000,26.769000,27.791000,142.558000,64.027000,25.923000,26.813000,1,1,0,0,8192,0,0,1.014983,0.020000,5.659000,2.276505,6,64,64,26.174846,25.800000,26.706000,0.426550,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1448,17,47104,42340,0,4303,38,343,0,0,0,0,2,0,0,0,0,1,1,11,1,3,1460,1018,888,59392,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,58.368000,64.027000,90.361000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,51242,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50398,8,0,8,3,1906,2,1906,1,0,0,1,2,1530295092461.951904,1530295092897.939941,435.988000,26.556000,27.545000,94.981000,63.788000,25.839000,26.586000,1,1,0,0,8192,0,0,1.156377,0.025000,5.660000,2.517592,5,64,64,25.969134,25.722000,26.374000,0.352885,3,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,1,0,0,0,0,0,0,0,0,0,0,---,4,3,-,-,0,0,0,58.128000,63.788000,90.162000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,56490,17,0,16,9,452,6,452,0,0,0,1,1,172.16.1.1,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1530295088250.306885,1530295102149.757080,13899.450000,53.804000,27.561000,13819.768000,13847.183000,26.299000,27.561000,1,1,0,0,0,0,0,9.398883,0.056000,37.436000,17.211527,8,64,64,32.845247,25.893000,63.850000,14.994597,11,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,164,16,49152,42340,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1448,16,45056,43440,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,-,-,0.0,0.0,-
172.16.1.200,41936,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50060,7,0,7,3,1906,2,1906,0,0,0,1,1,1530295102400.136963,1530295102549.472900,149.336000,26.379000,26.888000,83.488000,57.183000,25.931000,26.436000,1,1,0,0,8192,0,0,0.556389,0.020000,2.523000,1.099896,5,64,64,25.814855,25.643000,26.095000,0.211990,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,54.660000,57.183000,83.278000,0.000000,1713,0,-,-,0.0,0.0,-
