packets,RST sent,ACK sent,PURE ACK sent,unique bytes,data pkts,data bytes,rexmit pkts,rexmit bytes,out seq pkts,SYN count,FIN count,packets2,RST sent2,ACK sent2,PURE ACK sent2,unique bytes2,data pkts2,data bytes2,rexmit pkts2,rexmit bytes2,out seq pkts2,SYN count2,FIN count2,Completion time,C first payload,S first payload,C last payload,S last payload,C first ack,S first ack,C Internal,S Internal,C anonymized,S anonymized,Connection type,P2P type,HTTP type,Average rtt C2S,rtt min,rtt max,Stdev rtt,rtt count,ttl_min,ttl_max,Average rtt S2C,rtt min2,rtt max2,Stdev rtt2,rtt count2,ttl_min2,ttl_max2,P2P subtype,ED2K Data,ED2K Signaling,ED2K C2S,ED2K C2C,ED2K Chat,RFC1323 ws,RFC1323 ts,window scale,SACK req,SACK sent,MSS,max seg size,min seg size,win max,win min,win zero,cwin max,cwin min,initial cwin,rtx RTO,rtx FR,reordering,net dup,unknown,flow control,unnece rtx RTO,unnece rtx FR,SYN seqno,RFC1323 ws,RFC1323 ts,window scale,SACK req,SACK sent,MSS2,max seg size2,min seg size2,win max2,win min2,win zero2,cwin max2,cwin min2,initial cwin2,rtx RTO2,rtx FR2,reordering2,net dup2,unknown2,flow control2,unnece rtx RTO2,unnece rtx FR2,SYN seqno2,httpignore,httpignore2,httpignore3,httpignore4,httpignore5,httpignore6,httpignore7,httpignore8
17,0,16,9,452,6,452,0,0,0,1,1,17,0,17,5,2944,10,2944,0,0,0,1,1,15018.499,2.789,2.704,15015.842,15017.425,0.505,2.704,1,1,0,0,0,0,0,10.417495,0.245,40.75,18.441338,8,64,64,7.39166,0.008,40.051,16.106935,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
29849,0,29848,2,302437808,29846,314389600,8254,11951792,2375,1,1,32462,0,32462,32460,0,0,0,0,0,0,1,1,22637.369,1.402,0,22628.312,0,0.425,1.667,1,1,0,0,0,0,0,0.341555,0.079,164.544,2.662691,7448,64,64,0.013999,0.009,0.019,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,65160,24,14720,14600,0,1139576,24,13056,203,520,71,0,4286,0,13,5536,0,1,1,7,1,6724,1460,0,0,2395008,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,0,0,0,0,0
17,0,16,9,452,6,452,0,0,0,1,1,17,0,17,5,2944,10,2944,0,0,0,1,1,13779.659,3.901,3.619,13773.511,13778.591,0.422,3.619,1,1,0,0,0,0,0,10.405245,0.399,40.102,18.316401,8,64,64,7.204025,0.008,39.216,15.815187,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
17,0,16,9,452,6,452,0,0,0,1,1,17,0,17,5,2944,10,2944,0,0,0,1,1,11978.261,3.124,3.043,11974.309,11977.17,0.559,3.043,1,1,0,0,0,0,0,10.357496,0.237,40.075,18.252176,8,64,64,7.202116,0.016,39.215,15.77129,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
17,0,16,9,452,6,452,0,0,0,1,1,17,0,17,5,2944,10,2944,0,0,0,1,1,14394.429,2.708,2.642,14391.412,14393.425,0.3,2.642,1,1,0,0,0,0,0,10.316121,0.246,40.307,18.402209,8,64,64,7.309843,0.018,40.117,15.955641,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
34339,0,34338,2,216595920,34336,227111296,7262,10515376,936,1,1,26494,0,26494,26492,0,0,0,0,0,0,1,1,23231.114,1.83,0,23228.668,0,0.522,2.24,1,1,0,0,0,0,0,0.265573,0.076,141.921,1.709252,11848,64,64,0.024999,0.022,0.028,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,65160,24,14720,14600,0,1640584,24,13056,161,482,95,0,3628,0,27,3805,0,1,1,7,1,5581,1460,0,0,2093824,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,0,0,0,0
63287,0,63286,2,499843455,63284,520580264,14322,20736809,2956,1,1,52961,0,52961,52959,0,0,0,0,0,0,1,1,51564.347,3.126,0,51556.554,0,0.429,4.624,1,1,0,0,0,0,0,0.321067,0.049,193.548,2.336273,18228,64,64,0.026499,0.026,0.027,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,65160,24,14720,14600,0,2567304,24,13056,324,903,355,0,7688,0,34,7974,0,1,1,7,1,11314,1460,0,0,2502144,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1496,0,0,0,0,0
17,0,16,9,452,6,452,0,0,0,1,1,17,0,17,5,2944,10,2944,0,0,0,1,1,11437.451,2.66,2.576,11434.206,11436.339,0.397,2.576,1,1,0,0,0,0,0,10.253872,0.26,40.171,18.263805,8,64,64,7.266116,0.013,39.636,15.836355,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
17,0,16,9,452,6,452,0,0,0,1,1,17,0,17,5,2944,10,2944,0,0,0,1,1,11863.072,2.213,2.145,11858.645,11861.713,0.179,2.145,1,1,0,0,0,0,0,10.351371,0.161,40.278,18.198549,8,64,64,7.334752,0.018,39.95,16.022463,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
33730,0,33729,2,303654024,33727,316853992,9116,13199968,1213,1,1,28477,0,28477,28475,0,0,0,0,0,0,1,1,29049.179,1.908,0,29045.444,0,0.227,2.365,1,1,0,0,0,0,0,0.334123,0.076,64.723,1.963287,9757,64,64,0.014499,0.014,0.015,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,65160,24,14720,14600,0,434400,24,13056,230,351,33,0,4168,0,16,5531,0,1,1,7,1,5189,1460,0,0,2093824,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,0,0,0,0,0
