Client/Server IP addr,Client/Server TCP port,packets,RST sent,ACK sent,PURE ACK sent,unique bytes,data pkts,data bytes,rexmit pkts,rexmit bytes,out seq pkts,SYN count,FIN count,Client/Server IP addr,Client/Server TCP port,packets,RST sent,ACK sent,PURE ACK sent,unique bytes,data pkts,data bytes,rexmit pkts,rexmit bytes,out seq pkts,SYN count,FIN count,First time abs,Last time abs,Completion time,C first payload,S first payload,C last payload,S last payload,C first ack,S first ack,C Internal,S Internal,C anonymized,S anonymized,Connection type,P2P type,HTTP type,Average rtt C2S,rtt min,rtt max,Stdev rtt,rtt count,ttl_min,ttl_max,Average rtt S2C,rtt min,rtt max,Stdev rtt,rtt count,ttl_min,ttl_max,P2P subtype,ED2K Data,ED2K Signaling,ED2K C2S,ED2K C2C,ED2K Chat,RFC1323 ws,RFC1323 ts,window scale,SACK req,SACK sent,MSS,max seg size,min seg size,win max,win min,win zero,cwin max,cwin min,initial cwin,rtx RTO,rtx FR,reordering,net dup,unknown,flow control,unnece rtx RTO,unnece rtx FR,!= SYN seqno,RFC1323 ws,RFC1323 ts,window scale,SACK req,SACK sent,MSS,max seg size,min seg size,win max,win min,win zero,cwin max,cwin min,initial cwin,rtx RTO,rtx FR,reordering,net dup,unknown,flow control,unnece rtx RTO,unnece rtx FR,!= SYN seqno,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,
172.16.0.1,38612,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52037E+12,1.52037E+12,12306.177,6.598,6.454,12302.412,12304.922,0.45,6.454,1,1,0,0,0,0,0,10.38062,0.383,40.137,18.362373,8,64,64,7.286297,0.015,39.726,15.894634,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,38614,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52037E+12,1.52037E+12,13624.511,2.35,2.221,13620.963,13623.442,0.51,2.221,1,1,0,0,0,0,0,10.544118,0.471,40.479,18.456857,8,64,64,7.357479,0.013,39.881,16.055343,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,39082,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,15,0,15,4,2912,9,2912,0,0,0,1,1,1.52037E+12,1.52037E+12,11843.79,2.858,2.032,11840.506,11842.695,0.313,2.032,1,1,0,0,0,0,0,15.60643,0.302,41.312,20.832853,8,64,64,4.075959,0.007,39.57,12.47264,10,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,8,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,39084,18,0,17,9,452,7,484,1,32,0,1,1,172.16.0.2,861,19,0,19,6,2944,10,2944,1,0,0,2,1,1.52037E+12,1.52037E+12,12074.023,1002.049,1001.933,12070.609,12072.822,999.993,1001.933,1,1,0,0,0,0,0,6.112198,0.233,40.159,15.013907,7,64,64,8.071319,0.016,39.947,16.678547,10,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,1,0,0,0,0,0,0,0,0,1,1,7,1,1,1460,1448,16,1853440,14480,0,1480,16,64,0,0,0,1,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,39654,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52037E+12,1.52037E+12,12061.642,2.621,2.513,12057.93,12060.37,0.607,2.513,1,1,0,0,0,0,0,10.550493,0.366,40.799,18.482697,8,64,64,7.309206,0.017,39.93,15.947195,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,39656,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,16,0,16,4,2944,10,2944,0,0,0,1,1,1.52037E+12,1.52037E+12,14014.94,2.765,2.643,13799.416,13801.72,0.609,2.643,1,1,0,0,0,0,0,10.307746,0.485,39.648,18.062593,8,64,64,26.542486,0.028,212.64,63.680065,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,40166,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52037E+12,1.52037E+12,15623.114,3.437,3.379,15554.833,15621.955,0.443,3.379,1,1,0,0,0,0,0,10.484994,0.328,40.579,18.458542,8,64,64,7.322206,0.018,39.659,15.930171,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,40164,19,0,18,9,452,8,500,2,48,0,1,1,172.16.0.2,861,18,0,18,6,2944,10,2944,0,0,0,1,1,1.52037E+12,1.52037E+12,18890.516,3.205,3.095,18884.382,18886.406,0.54,3.095,1,1,0,0,0,0,0,7.069049,0.288,39.949,16.108137,6,64,64,7.612294,0.017,40.079,15.920226,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,2,0,0,0,0,0,0,0,0,1,1,7,1,2,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,40640,19,0,18,11,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,1,1,1,1.52037E+12,1.52037E+12,15164.598,10.016,9.889,14444.084,15162.886,0.528,9.889,1,1,0,0,0,0,0,10.419995,0.233,40.356,18.290285,8,64,64,11.937581,0.02,39.84,19.043989,10,64,64,0,0,0,0,0,0,1,1,7,1,1,1460,164,16,17536,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,2688,16,64,1,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,54312,4,1,2,1,0,0,0,0,0,0,1,1,172.16.0.2,4823,3,0,3,1,32,1,32,0,0,0,1,0,1.52037E+12,1.52037E+12,2.291,0,2.277,0,2.277,0.52,1.898,1,1,0,0,0,0,0,0.459977,0.422,0.498,0,2,64,64,0.021998,0.022,0.022,0,1,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,0,0,14720,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,32,32,14592,14480,0,32,32,32,0,0,0,0,0,0,0,0,0,0,0,---,0,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
